,Tioga GOM,2017-07-16 23:41:33,2017-07-22 21:39:01
,ifcbfile,latitude,longitude
0,D20170717T151212_IFCB009.hdr,42.10938947368421,-70.2230052631579
1,D20170717T151927_IFCB009.hdr,42.13769,-70.19085
2,D20170717T152614_IFCB009.hdr,42.16373636363637,-70.16216818181817
3,D20170717T153226_IFCB009.hdr,42.1871,-70.1365
4,D20170717T153838_IFCB009.hdr,42.21071428571428,-70.11045714285714
5,D20170717T154450_IFCB009.hdr,42.23439047619048,-70.08375714285714
6,D20170717T155101_IFCB009.hdr,42.259425,-70.05836000000001
7,D20170717T155713_IFCB009.hdr,42.284694736842106,-70.03210526315789
8,D20170717T160325_IFCB009.hdr,42.309466666666665,-70.00543333333333
9,D20170717T160937_IFCB009.hdr,42.3338619047619,-69.97883333333333
10,D20170717T161549_IFCB009.hdr,42.35737,-69.95175
11,D20170717T162201_IFCB009.hdr,42.38126,-69.92452
12,D20170717T162813_IFCB009.hdr,42.40540909090909,-69.89711818181819
13,D20170717T163425_IFCB009.hdr,42.42937,-69.86846
14,D20170717T164036_IFCB009.hdr,42.45311904761905,-69.8400380952381
15,D20170717T164648_IFCB009.hdr,42.47763,-69.81307
16,D20170717T165300_IFCB009.hdr,42.502236363636364,-69.78736818181818
17,D20170717T165911_IFCB009.hdr,42.52688,-69.761275
18,D20170717T170523_IFCB009.hdr,42.55031052631579,-69.73295789473684
19,D20170717T171135_IFCB009.hdr,42.57436,-69.70562
20,D20170717T171746_IFCB009.hdr,42.59928,-69.6799
21,D20170717T172358_IFCB009.hdr,42.622723809523805,-69.65245714285714
22,D20170717T173010_IFCB009.hdr,42.6458,-69.6241
23,D20170717T173621_IFCB009.hdr,42.652150000000006,-69.61760000000001
24,D20170717T174233_IFCB009.hdr,42.652427362204726,-69.61730216535433
25,D20170717T174844_IFCB009.hdr,42.65377493796526,-69.61758436724566
26,D20170717T175456_IFCB009.hdr,42.65524953488372,-69.61782930232557
27,D20170717T180108_IFCB009.hdr,42.656859,-69.618154
28,D20170717T180719_IFCB009.hdr,42.65877182320442,-69.61842596685084
29,D20170717T181331_IFCB009.hdr,42.66055527950311,-69.6186
30,D20170717T181943_IFCB009.hdr,42.65284074702886,-69.61741782682513
31,D20170717T182554_IFCB009.hdr,42.65384855687606,-69.61785874363328
32,D20170717T183206_IFCB009.hdr,42.6550514739229,-69.6182149659864
33,D20170717T183818_IFCB009.hdr,42.656666666666666,-69.6184
34,D20170717T184429_IFCB009.hdr,42.66166923076923,-69.61598461538462
35,D20170717T185041_IFCB009.hdr,42.676500000000004,-69.60409999999999
36,D20170717T185653_IFCB009.hdr,42.70198421052631,-69.58167894736842
37,D20170717T190304_IFCB009.hdr,42.72768,-69.55779
38,D20170717T190916_IFCB009.hdr,42.75310526315789,-69.5330947368421
39,D20170717T191528_IFCB009.hdr,42.7786,-69.5082
40,D20170717T192139_IFCB009.hdr,42.804522727272726,-69.48511363636364
41,D20170717T192751_IFCB009.hdr,42.830650000000006,-69.46205
42,D20170717T193403_IFCB009.hdr,42.85763636363637,-69.44139090909091
43,D20170717T194014_IFCB009.hdr,42.883160869565216,-69.41877391304348
44,D20170717T194626_IFCB009.hdr,42.90788,-69.39422
45,D20170717T195238_IFCB009.hdr,42.932990909090904,-69.36986363636363
46,D20170717T195849_IFCB009.hdr,42.95915909090909,-69.34767272727272
47,D20170717T200501_IFCB009.hdr,42.98473181818182,-69.32496363636363
48,D20170717T201113_IFCB009.hdr,43.0104,-69.3036
49,D20170717T201724_IFCB009.hdr,43.03593636363637,-69.28166363636363
50,D20170717T202336_IFCB009.hdr,43.06129545454546,-69.25939090909091
51,D20170717T202948_IFCB009.hdr,43.08683181818182,-69.23656363636364
52,D20170717T203559_IFCB009.hdr,43.11180454545455,-69.21279545454544
53,D20170717T204211_IFCB009.hdr,43.13643636363636,-69.18800909090909
54,D20170717T204823_IFCB009.hdr,43.162069565217394,-69.16424347826087
55,D20170717T205434_IFCB009.hdr,43.18767,-69.140985
56,D20170717T210046_IFCB009.hdr,43.213699999999996,-69.11746000000001
57,D20170717T210658_IFCB009.hdr,43.2407,-69.09609999999999
58,D20170717T211310_IFCB009.hdr,43.267152631578945,-69.07303684210527
59,D20170717T211921_IFCB009.hdr,43.292594736842105,-69.04752631578947
60,D20170717T212533_IFCB009.hdr,43.31823157894737,-69.02184210526316
61,D20170717T213145_IFCB009.hdr,43.34347368421053,-68.99602631578948
62,D20170717T213757_IFCB009.hdr,43.369569999999996,-68.97224
63,D20170717T214409_IFCB009.hdr,43.39569090909091,-68.9498
64,D20170717T215020_IFCB009.hdr,43.421645454545455,-68.9277909090909
65,D20170717T215632_IFCB009.hdr,43.44745454545455,-68.90577272727272
66,D20170717T220244_IFCB009.hdr,43.47333913043478,-68.8834652173913
67,D20170717T220856_IFCB009.hdr,43.49855714285714,-68.85964285714286
68,D20170717T221508_IFCB009.hdr,43.52344545454545,-68.8353909090909
69,D20170717T222119_IFCB009.hdr,43.548375,-68.81094999999999
70,D20170717T222731_IFCB009.hdr,43.57380952380952,-68.78710476190476
71,D20170717T223343_IFCB009.hdr,43.59983181818182,-68.76405909090909
72,D20170717T223955_IFCB009.hdr,43.62530454545455,-68.7414090909091
73,D20170717T224606_IFCB009.hdr,43.65098571428572,-68.71957142857143
74,D20170717T225218_IFCB009.hdr,43.67649090909091,-68.69608181818182
75,D20170717T225830_IFCB009.hdr,43.70087391304348,-68.67125652173914
76,D20170717T230442_IFCB009.hdr,43.7259,-68.647
77,D20170717T231054_IFCB009.hdr,43.75143043478261,-68.62437826086956
78,D20170717T231705_IFCB009.hdr,43.776785714285715,-68.60175238095239
79,D20170717T232317_IFCB009.hdr,43.80231578947368,-68.57954736842106
80,D20170717T232929_IFCB009.hdr,43.82787727272727,-68.55788636363637
81,D20170717T233541_IFCB009.hdr,43.853056521739134,-68.53437391304348
82,D20170717T234153_IFCB009.hdr,43.878045,-68.50982499999999
83,D20170717T234805_IFCB009.hdr,43.90317,-68.48553000000001
84,D20170717T235417_IFCB009.hdr,43.92847727272727,-68.46155454545455
85,D20170718T000029_IFCB009.hdr,43.95381428571429,-68.43778571428571
86,D20170718T000641_IFCB009.hdr,43.97979090909091,-68.41501363636362
87,D20170718T001253_IFCB009.hdr,43.98783534461862,-68.40889934954751
88,D20170718T001905_IFCB009.hdr,43.99000028482546,-68.40823656674209
89,D20170718T002516_IFCB009.hdr,43.992159405300576,-68.40757556561087
90,D20170718T003128_IFCB009.hdr,43.99432434550743,-68.40691278280543
91,D20170718T005328_IFCB009.hdr,44.00200639140271,-68.40456097285069
92,D20170718T010622_IFCB009.hdr,44.00651086376858,-68.40318195701359
93,D20170718T135842_IFCB009.hdr,44.273808719052745,-68.32074381054898
94,D20170718T140803_IFCB009.hdr,44.27296329386437,-68.31995877287406
95,D20170718T141415_IFCB009.hdr,44.273439583333335,-68.30681041666666
96,D20170718T142028_IFCB009.hdr,44.265615,-68.29017999999999
97,D20170718T142639_IFCB009.hdr,44.254616981132074,-68.2835245283019
98,D20170718T143251_IFCB009.hdr,44.24137291666666,-68.2822
99,D20170718T143903_IFCB009.hdr,44.228041025641026,-68.28828717948718
100,D20170718T144515_IFCB009.hdr,44.21255,-68.28828235294118
101,D20170718T145127_IFCB009.hdr,44.19555833333334,-68.28596666666667
102,D20170718T145739_IFCB009.hdr,44.17823333333334,-68.28413333333334
103,D20170718T150351_IFCB009.hdr,44.16038490566037,-68.2832
104,D20170718T151003_IFCB009.hdr,44.15946798029557,-68.28438226600986
105,D20170718T151614_IFCB009.hdr,44.157798666666665,-68.284956
106,D20170718T152226_IFCB009.hdr,44.146306060606065,-68.27291515151515
107,D20170718T152838_IFCB009.hdr,44.1300875,-68.2559875
108,D20170718T153450_IFCB009.hdr,44.116047058823526,-68.24314705882354
109,D20170718T154316_IFCB009.hdr,44.0953,-68.2211
110,D20170718T155035_IFCB009.hdr,44.0760294117647,-68.20309411764705
111,D20170718T155647_IFCB009.hdr,44.06829246861924,-68.19691631799164
112,D20170718T160259_IFCB009.hdr,44.06740543259558,-68.19820020120724
113,D20170718T160911_IFCB009.hdr,44.06574693877551,-68.1991775510204
114,D20170718T161523_IFCB009.hdr,44.052237500000004,-68.18512187500001
115,D20170718T162135_IFCB009.hdr,44.035940000000004,-68.16674
116,D20170718T162747_IFCB009.hdr,44.01859230769231,-68.14779230769231
117,D20170718T163359_IFCB009.hdr,43.998968000000005,-68.12708
118,D20170718T164010_IFCB009.hdr,43.98342723880597,-68.10814664179104
119,D20170718T164622_IFCB009.hdr,43.982733208955224,-68.10763768656716
120,D20170718T165234_IFCB009.hdr,43.982039179104476,-68.10712873134328
121,D20170718T165846_IFCB009.hdr,43.96618620689655,-68.09188965517241
122,D20170718T170458_IFCB009.hdr,43.94902222222222,-68.07128148148149
123,D20170718T171109_IFCB009.hdr,43.93025,-68.0473
124,D20170718T171721_IFCB009.hdr,43.90950384615385,-68.02491923076923
125,D20170718T172333_IFCB009.hdr,43.889096875,-68.02153125
126,D20170718T172945_IFCB009.hdr,43.890545967741936,-68.0224306451613
127,D20170718T173557_IFCB009.hdr,43.891591255289136,-68.02269308885755
128,D20170718T174209_IFCB009.hdr,43.892483215796894,-68.02279802538787
129,D20170718T174821_IFCB009.hdr,43.89115379061372,-68.02253366425992
130,D20170718T175433_IFCB009.hdr,43.891690974729244,-68.02243294223827
131,D20170718T180045_IFCB009.hdr,43.892228158844766,-68.02233222021661
132,D20170718T180657_IFCB009.hdr,43.88963181818182,-68.01924545454546
133,D20170718T181309_IFCB009.hdr,43.865863636363635,-67.99436363636363
134,D20170718T181921_IFCB009.hdr,43.84150454545454,-67.9702909090909
135,D20170718T182533_IFCB009.hdr,43.81674090909091,-67.94691818181818
136,D20170718T183144_IFCB009.hdr,43.803447193877545,-67.93091454081632
137,D20170718T183756_IFCB009.hdr,43.80425382653061,-67.93096198979592
138,D20170718T184408_IFCB009.hdr,43.80430202020202,-67.93066363636363
139,D20170718T185020_IFCB009.hdr,43.78639090909091,-67.91461818181818
140,D20170718T185631_IFCB009.hdr,43.76145714285715,-67.89096666666666
141,D20170718T190243_IFCB009.hdr,43.736331818181824,-67.86783636363637
142,D20170718T190855_IFCB009.hdr,43.713726566757494,-67.84507874659401
143,D20170718T191507_IFCB009.hdr,43.71448678474115,-67.84447057220709
144,D20170718T192118_IFCB009.hdr,43.71529894179894,-67.84390582010582
145,D20170718T192730_IFCB009.hdr,43.71696066350711,-67.84400379146919
146,D20170718T193342_IFCB009.hdr,43.71837109004739,-67.84409194312796
147,D20170718T193954_IFCB009.hdr,43.71978834080717,-67.84425156950672
148,D20170718T194606_IFCB009.hdr,43.72108368200837,-67.84463138075314
149,D20170718T195218_IFCB009.hdr,43.72244,-67.84518
150,D20170718T195830_IFCB009.hdr,43.724099029126215,-67.84594951456312
151,D20170718T200441_IFCB009.hdr,43.72597888198758,-67.84676708074534
152,D20170718T201053_IFCB009.hdr,43.72745913043478,-67.84716108695652
153,D20170718T201705_IFCB009.hdr,43.72889664948454,-67.84738195876288
154,D20170718T202317_IFCB009.hdr,43.730442180094784,-67.84760165876777
155,D20170718T202929_IFCB009.hdr,43.73182530864197,-67.84783827160494
156,D20170718T203540_IFCB009.hdr,43.73312304526748,-67.84799094650205
157,D20170718T204152_IFCB009.hdr,43.734245816733065,-67.84883665338646
158,D20170718T204804_IFCB009.hdr,43.735482222222224,-67.84934666666666
159,D20170718T205416_IFCB009.hdr,43.736801176470586,-67.84990094117647
160,D20170718T210027_IFCB009.hdr,43.74159062499999,-67.85417187499999
161,D20170718T210639_IFCB009.hdr,43.76159166666667,-67.87179166666667
162,D20170718T211251_IFCB009.hdr,43.784662499999996,-67.89285833333332
163,D20170718T211903_IFCB009.hdr,43.80816363636364,-67.91447272727272
164,D20170718T212514_IFCB009.hdr,43.83226666666667,-67.9368
165,D20170718T213126_IFCB009.hdr,43.85723636363637,-67.9554
166,D20170718T213738_IFCB009.hdr,43.86638464285714,-67.9608932142857
167,D20170718T214350_IFCB009.hdr,43.875962068965514,-67.94441379310345
168,D20170718T215001_IFCB009.hdr,43.89573333333333,-67.9259625
169,D20170718T215613_IFCB009.hdr,43.9204125,-67.92009166666666
170,D20170718T220225_IFCB009.hdr,43.94245714285714,-67.94424285714285
171,D20170718T220837_IFCB009.hdr,43.964609090909086,-67.96959545454546
172,D20170718T221449_IFCB009.hdr,43.98716363636364,-67.99572727272727
173,D20170718T222100_IFCB009.hdr,44.00920909090909,-68.02211818181819
174,D20170718T222712_IFCB009.hdr,44.03179090909091,-68.04748181818182
175,D20170718T223324_IFCB009.hdr,44.05351304347826,-68.07343043478261
176,D20170718T223936_IFCB009.hdr,44.074028,-68.09667999999999
177,D20170718T224548_IFCB009.hdr,44.094966666666664,-68.1189
178,D20170718T225200_IFCB009.hdr,44.114958620689656,-68.14205862068967
179,D20170718T225812_IFCB009.hdr,44.118424062095734,-68.14579391979302
180,D20170718T230423_IFCB009.hdr,44.11895200517465,-68.14665782664942
181,D20170718T231035_IFCB009.hdr,44.1222625,-68.153071875
182,D20170718T231647_IFCB009.hdr,44.13773793103448,-68.17346206896552
183,D20170718T232259_IFCB009.hdr,44.152858620689656,-68.1951448275862
184,D20170718T232911_IFCB009.hdr,44.1695,-68.21738333333333
185,D20170718T233523_IFCB009.hdr,44.18690769230769,-68.24087692307693
186,D20170718T234135_IFCB009.hdr,44.20475,-68.26364615384615
187,D20170718T234746_IFCB009.hdr,44.221325,-68.2843125
188,D20170718T235358_IFCB009.hdr,44.23746818181818,-68.28438181818181
189,D20170719T000010_IFCB009.hdr,44.25293611111111,-68.28452777777777
190,D20170719T000622_IFCB009.hdr,44.269161764705885,-68.29424411764705
191,D20170719T001135_IFCB009.hdr,44.27354285714286,-68.31137142857143
192,D20170719T002258_IFCB009.hdr,44.27298483448451,-68.3192830164707
193,D20170719T120433_IFCB009.hdr,44.27172069116866,-68.30119604287464
194,D20170719T121413_IFCB009.hdr,44.27170327334889,-68.3009468340687
195,D20170719T122025_IFCB009.hdr,44.26458,-68.29028
196,D20170719T122637_IFCB009.hdr,44.26323,-68.28356
197,D20170719T123249_IFCB009.hdr,44.26481052631579,-68.26524210526316
198,D20170719T123901_IFCB009.hdr,44.267715,-68.24671000000001
199,D20170719T124513_IFCB009.hdr,44.27496666666667,-68.2252
200,D20170719T125125_IFCB009.hdr,44.28123333333333,-68.20193888888889
201,D20170719T125737_IFCB009.hdr,44.28696666666667,-68.17767777777779
202,D20170719T130349_IFCB009.hdr,44.292633333333335,-68.1532888888889
203,D20170719T131001_IFCB009.hdr,44.299275,-68.1292125
204,D20170719T131613_IFCB009.hdr,44.30590769230769,-68.09810769230769
205,D20170719T132225_IFCB009.hdr,44.3107923076923,-68.06589230769231
206,D20170719T132836_IFCB009.hdr,44.309706451612904,-68.03921612903225
207,D20170719T133448_IFCB009.hdr,44.30243793103448,-68.01256206896552
208,D20170719T134100_IFCB009.hdr,44.3003549325763,-68.00703910574876
209,D20170719T134712_IFCB009.hdr,44.29990610361959,-68.00695990063875
210,D20170719T135324_IFCB009.hdr,44.29945727466288,-68.00688069552874
211,D20170719T135936_IFCB009.hdr,44.29900844570617,-68.00680149041874
212,D20170719T140547_IFCB009.hdr,44.29925633802817,-68.00474929577464
213,D20170719T141159_IFCB009.hdr,44.30618,-67.98438
214,D20170719T141811_IFCB009.hdr,44.31551379310345,-67.96071379310345
215,D20170719T142424_IFCB009.hdr,44.324189999999994,-67.93278
216,D20170719T143035_IFCB009.hdr,44.33393448275862,-67.90563793103448
217,D20170719T143647_IFCB009.hdr,44.34442758620689,-67.87913793103448
218,D20170719T144259_IFCB009.hdr,44.35399655172414,-67.85289655172414
219,D20170719T144911_IFCB009.hdr,44.36175555555556,-67.82796666666667
220,D20170719T145523_IFCB009.hdr,44.3706125,-67.8038875
221,D20170719T150134_IFCB009.hdr,44.378077777777776,-67.78270833333333
222,D20170719T150746_IFCB009.hdr,44.38621111111111,-67.75960833333333
223,D20170719T151358_IFCB009.hdr,44.394240625,-67.735209375
224,D20170719T152010_IFCB009.hdr,44.403075,-67.71071875
225,D20170719T152622_IFCB009.hdr,44.41244,-67.68627
226,D20170719T153234_IFCB009.hdr,44.41759252336449,-67.67025981308412
227,D20170719T153845_IFCB009.hdr,44.416313580246914,-67.67125679012346
228,D20170719T154457_IFCB009.hdr,44.40562702702702,-67.6596891891892
229,D20170719T155109_IFCB009.hdr,44.393173684210524,-67.64366315789474
230,D20170719T155721_IFCB009.hdr,44.38104871794872,-67.62781282051282
231,D20170719T160332_IFCB009.hdr,44.3684,-67.6119
232,D20170719T160944_IFCB009.hdr,44.356319444444445,-67.59476388888889
233,D20170719T161556_IFCB009.hdr,44.34372222222222,-67.57734444444445
234,D20170719T162208_IFCB009.hdr,44.33690281690141,-67.56727605633803
235,D20170719T162820_IFCB009.hdr,44.32693448275862,-67.55626551724139
236,D20170719T163432_IFCB009.hdr,44.310231034482754,-67.53436896551725
237,D20170719T164043_IFCB009.hdr,44.29362222222222,-67.51258888888889
238,D20170719T164655_IFCB009.hdr,44.27567777777777,-67.49101111111112
239,D20170719T165307_IFCB009.hdr,44.25802,-67.46892857142858
240,D20170719T165919_IFCB009.hdr,44.25460618556701,-67.46795841924398
241,D20170719T170531_IFCB009.hdr,44.25227586206897,-67.46907931034482
242,D20170719T171143_IFCB009.hdr,44.23590769230769,-67.44877692307692
243,D20170719T171754_IFCB009.hdr,44.21875,-67.42226666666667
244,D20170719T172406_IFCB009.hdr,44.2009,-67.3965
245,D20170719T173018_IFCB009.hdr,44.18265,-67.37201153846155
246,D20170719T173630_IFCB009.hdr,44.17797951070336,-67.367
247,D20170719T174242_IFCB009.hdr,44.186704545454546,-67.37146363636364
248,D20170719T174854_IFCB009.hdr,44.211868181818176,-67.35064545454546
249,D20170719T175505_IFCB009.hdr,44.237428571428566,-67.32976190476191
250,D20170719T180117_IFCB009.hdr,44.263754545454546,-67.31
251,D20170719T180729_IFCB009.hdr,44.290709523809525,-67.28978095238095
252,D20170719T181341_IFCB009.hdr,44.317709523809526,-67.27108095238096
253,D20170719T181953_IFCB009.hdr,44.34510909090909,-67.2516
254,D20170719T182605_IFCB009.hdr,44.372884210526315,-67.23200526315789
255,D20170719T183216_IFCB009.hdr,44.4007,-67.2116
256,D20170719T183828_IFCB009.hdr,44.42584782608696,-67.18707391304348
257,D20170719T184440_IFCB009.hdr,44.448640000000005,-67.15738
258,D20170719T185052_IFCB009.hdr,44.471468421052634,-67.12872105263158
259,D20170719T185704_IFCB009.hdr,44.478051789976135,-67.11816491646778
260,D20170719T190316_IFCB009.hdr,44.48049791666667,-67.11950520833334
261,D20170719T190927_IFCB009.hdr,44.495287999999995,-67.143844
262,D20170719T191539_IFCB009.hdr,44.510979999999996,-67.17082
