,Connecticut Maine,2018-07-18 12:43:08,2018-07-19 16:02:27
,ifcbfile,latitude,longitude
0,D20180717T225050_IFCB110.hdr,43.17211712679628,-70.44409998732037
1,D20180717T225725_IFCB110.hdr,43.19375607692308,-70.41188461538462
2,D20180717T232044_IFCB110.hdr,43.24752530769231,-70.37399597435898
3,D20180717T234403_IFCB110.hdr,43.296703585365854,-70.32313041463415
4,D20180718T000723_IFCB110.hdr,43.34802065853658,-70.27547934146342
5,D20180718T003042_IFCB110.hdr,43.400175675675676,-70.23025232432433
6,D20180718T005402_IFCB110.hdr,43.450348818181816,-70.1852270909091
7,D20180718T011721_IFCB110.hdr,43.499306000000004,-70.14259302325581
8,D20180718T014040_IFCB110.hdr,43.547244186046505,-70.09861599999999
9,D20180718T020400_IFCB110.hdr,43.598,-70.056167
10,D20180718T022719_IFCB110.hdr,43.64839285714286,-70.01237295238094
11,D20180718T025038_IFCB110.hdr,43.6866360016103,-69.97722899677939
12,D20180718T031358_IFCB110.hdr,43.68635439935588,-69.97779220128824
13,D20180718T033717_IFCB110.hdr,43.68607279710145,-69.9783554057971
14,D20180718T040036_IFCB110.hdr,43.685790993558776,-69.97891901288246
15,D20180718T042355_IFCB110.hdr,43.6770773902439,-70.01337407317072
16,D20180718T044714_IFCB110.hdr,43.718722166666666,-70.01549966666667
17,D20180718T051033_IFCB110.hdr,43.766872,-69.98241439534884
18,D20180718T053353_IFCB110.hdr,43.791397438177874,-69.96743227982647
19,D20180718T055712_IFCB110.hdr,43.75557618644068,-69.99220920338983
20,D20180718T062031_IFCB110.hdr,43.7341668,-70.005267
21,D20180718T064350_IFCB110.hdr,43.70520242675159,-70.02326114649682
22,D20180718T070709_IFCB110.hdr,43.66212475,-70.050416375
23,D20180718T073028_IFCB110.hdr,43.66739097077922,-70.01974979220779
24,D20180718T075348_IFCB110.hdr,43.63381041666666,-69.96734236111111
25,D20180718T081707_IFCB110.hdr,43.59413863333333,-69.93372533333333
26,D20180718T084026_IFCB110.hdr,43.59178080232558,-69.93762963953488
27,D20180718T090345_IFCB110.hdr,43.54818719512195,-69.89841836585366
28,D20180718T092704_IFCB110.hdr,43.518314419889506,-69.87024140055249
29,D20180718T095023_IFCB110.hdr,43.482,-69.843389
30,D20180718T101342_IFCB110.hdr,43.44739614473684,-69.80954887218046
31,D20180718T103701_IFCB110.hdr,43.420545227272726,-69.78907163636363
32,D20180718T110020_IFCB110.hdr,43.375250214285714,-69.75107164285714
33,D20180718T112340_IFCB110.hdr,43.36644366985646,-69.74354461244019
34,D20180718T114659_IFCB110.hdr,43.32301209756098,-69.75681334146341
35,D20180718T121018_IFCB110.hdr,43.263927435897436,-69.77058135897435
36,D20180718T123337_IFCB110.hdr,43.20529515384616,-69.78564130769232
37,D20180718T125656_IFCB110.hdr,43.14499602564103,-69.80088428205129
38,D20180718T132015_IFCB110.hdr,43.08420189473684,-69.81585978947369
39,D20180718T134334_IFCB110.hdr,43.02273061538462,-69.83106376923077
40,D20180718T140653_IFCB110.hdr,42.961491256410255,-69.84843556410256
41,D20180718T143012_IFCB110.hdr,42.901448538461544,-69.86141007692308
42,D20180718T145331_IFCB110.hdr,42.879995219931274,-69.86690071821306
43,D20180718T151650_IFCB110.hdr,42.861850241379315,-69.87637334482758
44,D20180718T154009_IFCB110.hdr,42.8071667,-69.9109167
45,D20180718T160328_IFCB110.hdr,42.74784210526315,-69.9424382631579
46,D20180718T162648_IFCB110.hdr,42.68904921621621,-69.97435618918918
47,D20180718T165007_IFCB110.hdr,42.630701894736845,-70.00781584210526
48,D20180718T171326_IFCB110.hdr,42.570167,-70.0415
49,D20180718T173645_IFCB110.hdr,42.50899102631579,-70.07460526315789
50,D20180718T180004_IFCB110.hdr,42.45012247368421,-70.10797368421053
51,D20180718T182324_IFCB110.hdr,42.392874975,-70.14122947499999
52,D20180718T184643_IFCB110.hdr,42.33538563157895,-70.17613157894738
53,D20180718T191003_IFCB110.hdr,42.27836156097561,-70.20768292682926
54,D20180718T193322_IFCB110.hdr,42.22284095348837,-70.23539534883722
55,D20180718T195642_IFCB110.hdr,42.168833,-70.266667
56,D20180718T202001_IFCB110.hdr,42.116619,-70.296357
57,D20180718T204320_IFCB110.hdr,42.063333,-70.32850033333332
58,D20180718T210640_IFCB110.hdr,42.00990681395349,-70.36321309302326
59,D20180718T212959_IFCB110.hdr,41.95461359090909,-70.38985970454546
60,D20180718T215319_IFCB110.hdr,41.9008336,-70.4161666
61,D20180718T224055_IFCB110.hdr,41.84587365853658,-70.44631268292683
62,D20180718T230414_IFCB110.hdr,41.79144287804878,-70.48052824390244
63,D20180718T232734_IFCB110.hdr,41.77658882978724,-70.5434539787234
64,D20180718T235053_IFCB110.hdr,41.747726101694916,-70.59109876271187
65,D20180719T001412_IFCB110.hdr,41.725457909090906,-70.63838467272727
66,D20180719T003731_IFCB110.hdr,41.68308536585366,-70.67837797560975
67,D20180719T010050_IFCB110.hdr,41.6274731627907,-70.70009686046512
68,D20180719T012410_IFCB110.hdr,41.56835048717949,-70.6972351025641
69,D20180719T014729_IFCB110.hdr,,
70,D20180719T021048_IFCB110.hdr,,
71,D20180719T023407_IFCB110.hdr,,
72,D20180719T025726_IFCB110.hdr,,
73,D20180719T032045_IFCB110.hdr,,
74,D20180719T034404_IFCB110.hdr,,
75,D20180719T040723_IFCB110.hdr,,
76,D20180719T043042_IFCB110.hdr,,
77,D20180719T045401_IFCB110.hdr,,
78,D20180719T051720_IFCB110.hdr,,
79,D20180719T054039_IFCB110.hdr,,
80,D20180719T060358_IFCB110.hdr,,
81,D20180719T062717_IFCB110.hdr,,
82,D20180719T065036_IFCB110.hdr,,
83,D20180719T071355_IFCB110.hdr,,
84,D20180719T073714_IFCB110.hdr,,
85,D20180719T080033_IFCB110.hdr,,
86,D20180719T082352_IFCB110.hdr,,
87,D20180719T084712_IFCB110.hdr,,
88,D20180719T091031_IFCB110.hdr,,
89,D20180719T093350_IFCB110.hdr,,
90,D20180719T095709_IFCB110.hdr,,
91,D20180719T102028_IFCB110.hdr,,
92,D20180719T104347_IFCB110.hdr,,
93,D20180719T110706_IFCB110.hdr,,
94,D20180719T113025_IFCB110.hdr,,
95,D20180719T115345_IFCB110.hdr,,
96,D20180719T121704_IFCB110.hdr,,
97,D20180719T124023_IFCB110.hdr,,
98,D20180719T130342_IFCB110.hdr,,
99,D20180719T132701_IFCB110.hdr,,
100,D20180719T135020_IFCB110.hdr,,
101,D20180719T141339_IFCB110.hdr,,
102,D20180719T143658_IFCB110.hdr,,
103,D20180719T150017_IFCB110.hdr,,
104,D20180719T152337_IFCB110.hdr,,
105,D20180719T154656_IFCB110.hdr,,
